2018-07-23,Admin Time,30
2018-07-23,Admin Time - Coffee,15
2018-07-23,Admin Time - PP,60
2018-07-23,Admin Time - Working on entering Time,75
2018-07-24,Admin Time,45
2018-07-24,Admin Time - Coffee,15
2018-07-24,Admin Time - Meet with Promote Team,30
2018-07-24,Admin Time - PP,15
2018-07-24,Community Time - Bot Focus Testing,120
2018-07-24,One on One - Wayne,30
2018-07-24,Team Time,60
2018-07-25,Admin Time - Coffee,15
2018-07-25,Admin Time - PP,60
2018-07-25,Admin Time - Research,30
